961
0	27.5
300	27.6
600	27.6
900	27.6
1200	27.6
1500	27.6
1800	27.6
2100	27.6
2400	27.6
2700	27.7
3000	27.7
3300	27.7
3600	27.7
3900	27.7
4200	27.8
4500	27.8
4800	27.8
5100	27.8
5400	27.8
5700	27.9
6000	27.9
6300	27.9
6600	27.9
6900	28
7200	28
7500	28
7800	28.1
8100	28.1
8400	28.1
8700	28.2
9000	28.2
9300	28.3
9600	28.3
9900	28.3
10200	28.4
10500	28.4
10800	28.5
11100	28.5
11400	28.6
11700	28.6
12000	28.7
12300	28.8
12600	28.8
12900	28.9
13200	28.9
13500	29
13800	29.1
14100	29.1
14400	29.2
14700	29.3
15000	29.4
15300	29.5
15600	29.5
15900	29.6
16200	29.7
16500	29.8
16800	29.9
17100	30
17400	30.1
17700	30.2
18000	30.3
18300	30.5
18600	30.6
18900	30.7
19200	30.8
19500	31
19800	31.1
20100	31.3
20400	31.5
20700	31.6
21000	31.9
21300	32.1
21600	32.3
21900	32.5
22200	32.8
22500	33.1
22800	33.4
23100	33.7
23400	34.1
23700	34.4
24000	34.8
24300	35.3
24600	35.7
24900	36.2
25200	36.7
25500	37.2
25800	37.8
26100	38.4
26400	39.1
26700	39.8
27000	40.5
27300	41.3
27600	42.2
27900	43.1
28200	44
28500	45.1
28800	46.2
29100	47.3
29400	48.6
29700	50
30000	51.4
30300	53
30600	54.6
30900	56.5
31200	58.5
31500	60.5
31800	62.8
32100	65.3
32400	67.9
32700	70.6
33000	73.8
33300	77
33600	80.3
33900	84.1
34200	88
34500	92
34800	96.7
35100	101.5
35400	106.4
35700	112.1
36000	118
36300	124.2
36600	131.2
36900	138.2
37200	146.3
37500	154.7
37800	163.7
38100	173.5
38400	183.6
38700	194.9
39000	206.4
39300	219.1
39600	232.2
39900	246.3
40200	260.9
40500	276.4
40800	292.5
41100	309.4
41400	326.7
41700	344.9
42000	363.5
42300	382.9
42600	402.6
42900	423.1
43200	443.9
43500	465.3
43800	487.2
44100	509.5
44400	532.4
44700	555.6
45000	579.3
45300	603.5
45600	628
45900	653.1
46200	678.5
46500	704.1
46800	730.6
47100	757
47400	783.5
47700	810.7
48000	837.9
48300	865
48600	892.9
48900	920.6
49200	948.5
49500	976.7
49800	1004.6
50100	1032.9
50400	1061.4
50700	1089.5
51000	1118.2
51300	1146.6
51600	1174.8
51900	1202.9
52200	1231.4
52500	1259.5
52800	1287.3
53100	1315.1
53400	1343.1
53700	1370.7
54000	1398.1
54300	1425.6
54600	1453.2
54900	1480.2
55200	1507
55500	1533.8
55800	1560.5
56100	1587.2
56400	1613.3
56700	1639.1
57000	1664.8
57300	1690.6
57600	1716
57900	1740.9
58200	1765.6
58500	1789.9
58800	1814.1
59100	1838.3
59400	1863.2
59700	1889.2
60000	1915.9
60300	1942.9
60600	1969.6
60900	1996.1
61200	2022.1
61500	2048.5
61800	2074.3
62100	2099.5
62400	2124.3
62700	2148.9
